@id	name	ele	@lat	@lon
26863050	Großer Arber	1456	49.1124718	13.1361900
61270684	Scheuchenberg	540	49.0264545	12.2560197
95964264	Dreisessel	1323	48.7806790	13.8031771
95964265	Hochstein	1333	48.7847492	13.8027768
96405646	Großer Rachel	1453	48.9785352	13.3889715
96428401	Großer Riedelstein	1132	49.1659000	12.9729999
96428403	Großer Osser	1293	49.2031833	13.1097845
96428405	Kleiner Arber	1384	49.1133011	13.1100722
173849656	Rauchröhren	1042	49.1702239	12.9604782
173849666	Mittagstein	1034	49.1732347	12.9422827
173853050	Kreuzfelsen	999	49.1764528	12.9227995
173866922	Kleiner Falkenstein	1190	49.0885068	13.2732424
265094431	Kleiner Osser	1266	49.2017348	13.1032394
270091856	Eidenberger Lusen	733	48.5727904	13.7841343
270091875	Ponzaun	767	48.6015300	13.7788112
270091916	Höpfelberg	727	48.7081245	13.7903125
281997902	Silberberg	955	49.0571546	13.1243106
290221610	Bärenriegel	1017	49.2401279	12.9264333
290221611	Burgstall	976	49.2494248	12.8908193
290221627	Eckstein	1073	49.2372852	12.9329665
295661960	Hirschenstein	1095	48.9643769	12.8800093
295667592	Predigtstuhl	1024	49.0023398	12.8488065
295668282	Pröller	1048	49.0219662	12.8211454
297562061	Schopf	928	48.9547041	12.8429102
305665620	Haidel	1166	48.8185711	13.6782443
309432989	Knogl	1056	48.9959040	12.8571683
323838844	Dreitannenriegel	1092	48.8972514	13.0221150
323839344	Einödriegel	1121	48.9281616	13.0277588
323839655	Geißkopf	1097	48.9240769	13.0374226
323850384	Breitenauriegel	1114	48.9065480	13.0300211
347056141	Hohenstein		49.1949659	12.1852712
356304449	Sallerner Berg	390	49.0420460	12.1074857
403303195	Enzian	1287	49.1237073	13.0830635
403307514	Heugstatt	1262	49.1292361	13.0682204
403315504	Mühlriegel	1079	49.1569817	13.0149053
410947529	Lusen	1373	48.9391964	13.5067775
414734287	Rauher Kulm	1050	48.9485091	12.8988447
416427242	Dreikögelriegel	858	48.9694705	13.2555143
416634867	Kirchberg		48.9036275	13.1818276
416644868	Hennenkobel	965	49.0450716	13.1815386
416678030	Kronberg	983	49.0369388	13.1053062
417100704	Almberg	1139	48.8891850	13.6431786
427281914	Jugenberg	610	49.1856668	12.2178899
428608605	Ruhmannsberg	862	48.6474966	13.6858196
428608606	Staffelberg	793	48.6510959	13.6513777
435237776	Wagensonnriegel	959	48.9504287	13.2790963
436158256	Harlachberger Spitze	914	49.0494155	13.0806915
437029767	Hängender Riegel	1080	49.1464908	13.0573865
445764708	Waldhäuserriegel	1151	48.9246800	13.4845986
445970161	Kleiner Spitzberg	1233	48.9510092	13.4797727
459569430	Kleiner Büchelstein		48.8104826	13.1642459
459569899	Brotjacklriegel	1010	48.8170156	13.2167342
459569909	Büchelstein	832	48.8082788	13.1754956
467457622	Hoher Stein	584	49.1207787	12.2164079
469869745	Steinfleckberg	1342	48.9530022	13.5226830
535979310	Kühberg	870	48.9763298	13.2292152
538378363	Eschenberg	1043	48.9342375	13.2792772
564965776	Hessenstein	878	48.9146856	13.3040868
576571442	Plattenhausenriegel	1376	48.9639997	13.4502885
576647349	Jägerhübel	1100	49.2166689	13.1138594
576647358	Helmwald	1102	49.2269640	13.0891868
577336417	V koutě	1276	48.9727165	13.4258767
591818020	Dattinger Berg	886	48.8749128	13.1103491
591935258	Knogelberg	705	49.0607078	12.9799272
591937869	Schloßberg	673	49.0614251	12.9639370
605418981	Grosse Kanzel	1002	48.8884396	13.5400865
605457854	Ochsenriegel		48.8938149	13.5116318
605503339	Kleine Kanzel	1011	48.8873002	13.5310852
606492368	Kohlbichel	749	48.9518062	13.2528126
662571491	Peilstein		49.2128257	12.1743103
662571497	Franzenshöhe		49.2127047	12.1760040
671758541	Plattenhöhe	690	48.9506596	13.1758079
775651325	Ahornriegel	1050	49.2348824	12.9440756
814886691	Sicklinger Berg	628	48.7353965	13.5794471
814886693	Oberfrauenwald	945	48.6850001	13.6580499
814886698	Habergrasberg	1235	48.7850000	13.7885900
814886704	Neufanger Berg	755	48.7491700	13.6530500
814886713	Saußberg	793	48.7047900	13.6059200
841768928	Gsengetstein	951	48.9318145	13.2580614
846163246	Bogenberg	432	48.9020427	12.6969849
873636642	Schwarzeck	1235	49.1465603	13.0645594
906245584	Streitberg	594	49.1375950	12.9677913
972202151	Friedrichsberg	930	48.6545958	13.7963569
987564984	Geißriegel	1043	48.9033901	13.0081744
1068936853	Mühlberg	408	49.0548181	12.1126898
1149812832	Hochzellberg	1208	49.0776795	13.1332083
1161322926	Strohmannhanselhöhe	869	49.0459941	13.0935857
1177290609	Helfenstein		49.1495982	12.4085625
1232877091	Großer Pfaffenstein	515	49.1685707	12.3603203
1270510248	Beerenkopf		49.0074465	13.4027836
1272507425	Vogelsang	1022	48.9344318	12.9435935
1278984529	Hohlstein	1196	48.9150996	13.5301565
1313209783	Berliner Kreuz		49.0190825	13.0335409
1320118701	Zeitlberg	410	49.0692697	12.1109635
1329432528	Tiessenberg	745	48.6619491	13.6140230
1350030716	Fahnenriegel	1199	49.0521408	13.3372696
1350032421	Scheuereckberg	1193	49.0673998	13.3311385
1350051064	Sulzriegel	782	49.0694772	13.2391857
1355321835	Trossel		48.9194173	13.3642355
1378735198	Teufelstisch	901	48.9326754	13.0646430
1399515171	Butzen	775	48.9061670	12.9476403
1404351251	Kühberg	835	48.9215624	12.9990247
1404352472	Hummelsberg		48.9224929	12.9876950
1404355088	Buchenhöhe	723	48.8929932	12.9925943
1404357596	Anhangberg	984	48.9036526	13.0453947
1404363111	Hermannschopf	824	48.9197435	13.0630651
1404364857	Stadelberg	891	48.9336584	13.0888894
1404364860	Finkenrieder Berg	663	48.9416362	13.0875161
1407391644	Hocheck	727	48.9371703	12.9870433
1407404108	Buchberg	687	48.9719171	13.0166549
1407404121	Rosenberg	871	48.9576042	13.0334777
1407404123	Bornstein	818	48.9526445	13.0456657
1407431204	Hochriedriegel	934	48.9450348	12.9419822
1407465707	Fuchsberg	684	48.9081538	12.9539771
1407484391	Klausenstein	1048	48.9503368	12.8961756
1407494789	Knogler Berg	721	48.9316446	12.8546924
1416318813	Kälberbuckel	1053	48.9756706	12.8878642
1417936137	Büscherl	740	49.0267300	12.5536376
1417936143	Hohenried	679	49.0345779	12.5811028
1420723116	Gallner Berg	709	49.0485375	12.6775127
1470641948	Hanichelriegel	978	49.0386264	12.8126073
1470641950	Käsplatte	978	49.0381908	12.8071797
1482153892	Stierberg	734	49.0125570	13.3186479
1482161211	Ochsenberg	664	49.0034363	13.3044000
1486378033	Weißer Felsen		49.1696152	12.7892431
1486404877	Hirschpertberg		49.1345922	12.8143488
1491248965	Hochberg	1025	49.0004257	12.8556089
1498943476	Hinterberg	666.1	48.8891166	12.9462408
1498943480	Kühberg	650.9	48.8934060	12.9465999
1498943483	Rabenstein	614.1	48.8850233	12.9445751
1512928578	Kleiner Aschenstein	913	48.8133171	13.2585880
1512928601	Geißlstein	906	48.8139896	13.2648902
1512928602	Aschenstein	942	48.8176285	13.2570665
1579621442	Hocheiche	463	48.8551274	12.9744356
1584111668	Bubikberg	572	48.7709039	13.4262550
1584111670	Lindberg	638	48.7896681	13.4345317
1585617175	Redelberg		48.8722330	13.3543789
1585642759	Scheiben		48.8465001	13.3274501
1602541842	Steinbichel	703	48.8733143	13.3335050
1602542020	Oberer Berg	686	48.8710547	13.3431158
1602557838	Altenstein	744	48.8882425	13.3794222
1602560075	Kreuzberg		48.8939705	13.3519564
1631533588	Hoher Sachsen	752	48.8620758	13.3732777
1637742696	Türkenberg	738	48.8725515	13.3214406
1637808138	Mühlberg	667	48.8801521	13.3126966
1637827733	Steinbichel	680	48.8654477	13.2675766
1704184549	Schützinger Berg	608.7	48.8272040	13.0266154
1708860112	Ochsenstiegl	623	48.7556495	13.3074661
1716906832	Habichtstein	863	48.9259059	13.2778733
1719314030	Jägerriegel	913	48.8288330	13.2179358
1719388195	Brauerriegel	765	48.8305919	13.2365928
1719390861	Scheibenberg	766	48.8380707	13.2375691
1719396100	Sturmriegel	974	48.8222031	13.2094237
1719410927	Widderberg		48.8512742	13.2948397
1719410971	Häuserberg	630	48.8563004	13.2961057
1720461275	Im Riegel	582	48.7997441	13.3593991
1720464279	Bauernberg	534	48.8113468	13.3622744
1720487630	Hauzenberg	565.5	48.7739570	13.3780243
1720487650	Vogelsang		48.7741267	13.3820154
1720487658	Glockenberg	537	48.7879125	13.3793761
1734997824	Oberberg	651	48.8547480	13.0161365
1737969348	Kadernberg		48.8446402	13.3265210
1751528895	Steinbühl	754	48.8419420	13.4354913
1756787438	Hadriwa	677	49.1220595	12.4001082
1756787439	Hoher Fels	652	49.1203874	12.3761635
1756787646	Hetzenbacher Höhe		49.1338544	12.3858029
1774722885	Irlberg	512	48.8070160	13.0238237
1774951385	Grüdelberg		48.8905971	13.4395641
1777783073	Mitterscheibling	921	48.8905042	13.6691268
1799419331	Hohes Buchet	569	48.9132501	12.8986333
1839444558	Sternknöckel	818	49.0675190	13.0574965
1839444562	Wolfgangriegel	876	49.0700545	13.0399630
1841412900	Kapellenberg	880.5	49.0033459	12.8159007
1845701589	Mühlberg	890	48.8458696	13.6427333
1846783812	Spitzenberg	807	48.7505129	13.7272164
1846787256	Stubenberg	812	48.7591014	13.7212919
1846801307	Braunberg	706	48.7522121	13.7477277
1857507754	Geistlicher Stein	671	48.8292768	13.4559508
1864939054	Baderstein		48.7976570	13.5281372
1868730821	Schusterstein	998	48.9892230	12.8951903
1875438824	Ochsenberg		49.0000160	13.1794302
1875438884	Mühlberg		49.0069684	13.1802158
1875462397	Unterdorfer Berg		49.0028314	13.1432312
1875478089	Galgenberg		48.9815288	13.1166666
1875478131	Abendberg		48.9891610	13.1038134
1875478132	Kühberg		48.9747123	13.1077831
1878093630	Hochstein	1134	49.1236936	13.0641426
1880064913	Atzldorfer Berg		48.7367261	13.4603941
1891813231	Weißer Riegel	1093	49.2147288	13.1144343
2051573244	Hohes Kreuz		49.0084291	13.0372816
2051573245	Vormittagberg		49.0240768	13.0288273
2268278345	Steinberg	875	48.8515811	13.4582633
2353045928	Garbuckel	323	48.9235396	12.6035176
2362228098	Hausstein	917	48.8709360	13.0705657
2364277247	Herrnberg	399	49.0036671	12.4018920
2365417233	Farrenberg	1203	48.9576901	13.5417946
2365737143	Geiersberg	368	48.8274892	12.9730118
2365793601	Lerchenhaube	446	49.0049702	12.3925833
2366969298	Gschwellberg	443	49.0105780	12.4164764
2366970862	Hirschbuckel	510	49.0059544	12.4283247
2366972993	Jägerbuckel	407	49.0115778	12.4104729
2370859091	Kühberg	508	48.8585465	12.9756759
2388611234	Bernhardsnagel	896	49.0538336	12.7974831
2388719374	Haibühler Spitz	1047	49.1631148	13.0265857
2388719375	Haidstein	742	49.2160822	12.8065002
2388719376	Hindenburgkanzel	1062	49.1472222	13.1572222
2388746485	Hörndl	1015	49.1420189	13.0897298
2388822367	Schloßberg	380	48.9999996	12.4030169
2389007421	Riesberg	934	49.0391581	13.2892725
2389014566	Steinberg	830	48.6822222	13.5875000
2389014575	Wagnerspitze	1125	49.1376826	13.1466086
2398954761	Sauberg	443	49.0138802	12.4006272
2410851703	Stallriegel	1228	49.1086495	13.1468493
2413491281	Kleiner Rachel	1399	48.9837020	13.3791457
2450057589	Birkenberg	457	49.1133141	12.8734666
2450057590	Distelberg	641	49.0718398	12.8567351
2450057591	Riesberg	882	49.0929436	12.9649528
2452343798	Kleiner Riedelstein	1042	49.1613125	12.9747480
2455697061	Förchenbichel	748	49.0737042	12.8320742
2455697062	Kastenstein	822	49.0493887	12.8309023
2468531711	Kleines Hochgrainet	820	48.9784846	13.2198435
2479574542	Pledlberg	367	48.7265807	13.0770061
2481838675	Goldhügel	539	48.7878266	13.3487670
2482160659	Schwarzriegel	1079	49.2336945	12.9356052
2482160663	Kohlriegel	957	49.2418162	12.9037996
2486503354	Hochruck	1260	48.9879311	13.3805457
2487020687	Semmelberg		49.1064846	12.4550015
2491284346	Fürstenstand		49.0702859	13.2720820
2493825649	Pfennighügel	513	48.7854789	13.3660449
2549215740	Diebstein	520	48.7614100	13.3359566
2580587491	Zielberg		48.7406726	13.7053418
2640761492	Kleiner Geistlicher Stein		48.8281982	13.4577657
2669374024	Hochberg	941	49.1079434	13.2062999
2673647869	Drähberg	920	49.1142192	13.2217967
2686304899	Großer Rathberg	899	48.6569210	13.7444404
2848573065	Plattenriegel	1050	49.1268435	13.0458981
2880736838	Frauenberg	337	48.7723363	13.0475265
2880736840	Rohrberg		48.7771046	13.0543949
2962212596	Spitzberg	1058	49.1301691	13.1120544
2969872191	Maxfelsen	1138	49.1947024	13.1324031
2969966047	Maly Kokrháč	1169	49.1906293	13.1371358
2970748586	Am Knöchel		49.1893925	13.1360916
2976643043	Kleiner Hahnenbogen		49.0498975	13.3563224
2983633075	Urberberg	614	48.9791330	12.7852738
2996218122	Fürberg	880	48.8702326	13.2132403
2996229872	Weigelsberg	898	49.0991072	12.9600509
2996234032	Hahnenriegel	1108	49.0701329	13.1578244
2996234833	Mittagsplatzl	1340	49.0933970	13.1428476
2996234834	Rote Höhe	1050	49.0601635	13.1793388
2996235651	Ruckowitzberg	1269	49.0947511	13.2826889
2996241293	Großer Hahnenbogen	1257	49.0452334	13.3631037
2996241294	Hirschberg	1039	49.0215876	13.3553605
2996241295	Kiesruck	1265	49.0527189	13.3453269
2996244038	Bienstand	865	48.8940025	13.3934814
2996252119	Siebensteinkopf	1263	48.9654959	13.5755324
2996252971	Rollmannsberg	1042	48.7958348	13.8008330
2996255522	Alzenberg	1100	48.8951650	13.6269428
2996255523	Grandelberg	1010	48.8703261	13.6572910
2996255524	Schwarzkopf	1060	48.8563241	13.6549035
2996257320	Lichtenberg	1028	48.8380795	13.7399609
2996257321	Sulzberg	1146	48.8435733	13.6992756
2996336468	Brandtner Riegel	993	49.0571097	13.1340578
3009214864	Riebenzingriegel		49.2284712	12.9308205
3031511861	Kühberg	525	48.9995899	12.5972608
3045856733	Zwieselberg		49.0040178	13.2126805
3086835031	Degenberg		48.9329853	12.8292497
3194358028	Schwarzbachriegel	1145	49.0787465	13.2876243
3194373475	Leitenwaldhöhe	808	48.9874629	13.2400056
3239839912	Fuchsenstein	759	48.7699484	13.7394357
3242752334	Markkopf	1280	48.9686858	13.5150775
3252441016	Pfarrerberg	672	49.0586241	12.9853930
3258596862	Asberg	778	48.9785582	13.2134709
3258612961	Glasberg	676	49.0009734	13.2309323
3258612962	Oberer Kühberg	755	48.9924344	13.2624516
3258612963	Stierberg	827	48.9866662	13.2593005
3283485115	Spitzberg	810	49.0157073	12.9405198
3292193182	Kühberg	643	49.0394547	12.9645389
3370296585	Schwaimberg		48.8645965	13.4007879
3431111121	Teufelsfelsen	410	48.9691622	12.6820345
3480665605	Bärenlochriegel	1304	48.9664901	13.4405838
3481238184	Schuhnagelkopf		48.9694063	13.3893469
3490703457	Schloßberg	436	49.1261275	12.1330575
3491457655	Altweiberhöhe	601	49.0587289	12.3129608
3491457657	Keilstein	450	49.0326625	12.1541154
